name,length,width,height,,x,y,flags,,x,y,flags,,x,y,flags
Bubble,2,16,16,,0,0,0,,0,0,1
Gel,2,8,16,,16,0,0,,24,0,0
Trap,1,16,16,,32,0,0
OldMan,1,16,16,,48,0,0
Keese,2,16,16,,64,0,0,,80,0,0
Moldorm,1,8,16,,96,0,0
Wallmaster,2,16,16,,0,16,0,,16,16,0
Rope_R,2,16,16,,32,16,0,,48,16,0
Rope_L,2,16,16,,32,16,1,,48,16,1
Stalfos,2,16,16,,64,16,0,,64,16,1
Goriya_D,2,16,16,,80,16,0,,80,16,1
Goriya_U,2,16,16,,96,16,0,,96,16,1
Goriya_R,2,16,16,,112,16,0,,0,32,0
Goriya_L,2,16,16,,112,16,1,,0,32,1
PolsVoice,2,16,16,,0,48,0,,16,48,0
Gibdo,2,16,16,,32,48,0,,32,48,1
Zol,2,16,16,,48,48,0,,64,48,0
Darknut_D,2,16,16,,80,48,0,,96,48,0
Darknut_U,2,16,16,,112,48,0,,112,48,1
Darknut_R,2,16,16,,0,64,0,,16,64,0
Darknut_L,2,16,16,,0,64,1,,16,64,1
LanmolaHead,1,8,16,,0,80,0
LanmolaBody,1,8,16,,8,80,0
LikeLike,4,16,16,,16,80,0,,32,80,0,,48,80,0,,32,80,0
Vire_D,2,16,16,,96,80,0,,112,80,0
Vire_U,2,16,16,,0,96,0,,16,96,0
Wizzrobe_R,2,16,16,,32,96,0,,48,96,0
Wizzrobe_L,2,16,16,,32,96,1,,48,96,1
Wizzrobe_U,2,16,16,,64,96,0,,80,96,0
